id,label
tensor(1),0.5035620331764221
tensor(2),0.5035985112190247
tensor(3),0.5036102533340454
tensor(4),0.5035975575447083
tensor(5),0.5035625696182251
tensor(6),0.5035929083824158
tensor(7),0.5035793781280518
tensor(8),0.5035554766654968
tensor(9),0.5035659074783325
tensor(10),0.5035693645477295
tensor(11),0.5035579204559326
tensor(12),0.5035876631736755
tensor(13),0.5035752654075623
tensor(14),0.5035759210586548
tensor(15),0.5035857558250427
tensor(16),0.5035410523414612
tensor(17),0.5035621523857117
tensor(18),0.5035805702209473
tensor(19),0.5035898089408875
tensor(20),0.5035604238510132
tensor(21),0.5035607814788818
tensor(22),0.503565788269043
tensor(23),0.5035884976387024
tensor(24),0.5035707950592041
tensor(25),0.5035926699638367
tensor(26),0.5035675764083862
tensor(27),0.5035523772239685
tensor(28),0.5035505890846252
tensor(29),0.503582239151001
tensor(30),0.5035523772239685
tensor(31),0.5035585761070251
tensor(32),0.5035712122917175
tensor(33),0.5036135315895081
tensor(34),0.5035696625709534
tensor(35),0.503548264503479
tensor(36),0.5035490393638611
tensor(37),0.5035651326179504
tensor(38),0.5035585165023804
tensor(39),0.503563642501831
tensor(40),0.503609299659729
tensor(41),0.5035603642463684
tensor(42),0.5035595297813416
tensor(43),0.5035720467567444
tensor(44),0.5035678744316101
tensor(45),0.503562331199646
tensor(46),0.5035595893859863
tensor(47),0.5035949349403381
tensor(48),0.5035767555236816
tensor(49),0.5035784244537354
tensor(50),0.5035593509674072
tensor(51),0.5035884976387024
tensor(52),0.5035663843154907
tensor(53),0.5035876631736755
tensor(54),0.503588080406189
tensor(55),0.5035563111305237
tensor(56),0.5035743713378906
tensor(57),0.5036011338233948
tensor(58),0.5035570859909058
tensor(59),0.5036165714263916
tensor(60),0.5035586357116699
tensor(61),0.5035680532455444
tensor(62),0.5035548210144043
tensor(63),0.5035635828971863
tensor(64),0.503564178943634
tensor(65),0.5035743117332458
tensor(66),0.5035578012466431
tensor(67),0.5035755038261414
tensor(68),0.5035614967346191
tensor(69),0.5035613775253296
tensor(70),0.5035565495491028
tensor(71),0.5035637021064758
tensor(72),0.5035543441772461
tensor(73),0.5035576224327087
tensor(74),0.5036202073097229
tensor(75),0.5035768747329712
tensor(76),0.5035606026649475
tensor(77),0.5035651922225952
tensor(78),0.5035778880119324
tensor(79),0.5035632252693176
tensor(80),0.5035834312438965
tensor(81),0.5035516023635864
tensor(82),0.5035730600357056
tensor(83),0.5035558342933655
tensor(84),0.5035590529441833
tensor(85),0.5035864114761353
tensor(86),0.5035533905029297
tensor(87),0.5035321116447449
tensor(88),0.5035748481750488
tensor(89),0.5036081671714783
tensor(90),0.5035631656646729
tensor(91),0.5035954117774963
tensor(92),0.5036062598228455
tensor(93),0.5035715699195862
tensor(94),0.503562867641449
tensor(95),0.5036087036132812
tensor(96),0.5035502314567566
tensor(97),0.503556489944458
tensor(98),0.5036003589630127
tensor(99),0.5035647749900818
tensor(100),0.5035544037818909
tensor(101),0.503570020198822
tensor(102),0.503584086894989
tensor(103),0.5035720467567444
tensor(104),0.5035640597343445
tensor(105),0.5035843253135681
tensor(106),0.5035763382911682
tensor(107),0.503555953502655
tensor(108),0.5035507678985596
tensor(109),0.5036017894744873
tensor(110),0.5035805106163025
tensor(111),0.5035593509674072
tensor(112),0.503575325012207
tensor(113),0.5036123394966125
tensor(114),0.5035533308982849
tensor(115),0.5035547614097595
tensor(116),0.5035650134086609
tensor(117),0.5035707950592041
tensor(118),0.5035738945007324
tensor(119),0.5035454034805298
tensor(120),0.5035330057144165
tensor(121),0.5035724639892578
tensor(122),0.5035778284072876
tensor(123),0.503532350063324
tensor(124),0.5035824775695801
tensor(125),0.5035985708236694
tensor(126),0.5035883784294128
tensor(127),0.5035726428031921
tensor(128),0.5035842657089233
tensor(129),0.50355464220047
tensor(130),0.5035581588745117
tensor(131),0.5035620927810669
tensor(132),0.503576397895813
tensor(133),0.5035874843597412
tensor(134),0.5035855770111084
tensor(135),0.5035802125930786
tensor(136),0.50357586145401
tensor(137),0.5035542249679565
tensor(138),0.503559947013855
